"skills","salary","job_id","job_title"
"svn","400000",1423700,"Data Science"
"svn","400000",8679,"Python Software Engineer, Importante Empresa Center"
"svn","400000",98624,"Cloud Big Data Engineer"
"svn","400000",24074,"Data Engineer"
"svn","400000",942431,"Senior Cloud Native Software Engineer"
"svn","400000",10178,"Lead Data Engineer"
"svn","400000",1031937,"Devops Engineer"
"svn","400000",1600782,"Quantitative Analyst - Commodities (Data Science)"
"svn","400000",631,"IT Data Engineering – Manager"
"svn","400000",865098,"Ilmxlab Pipeline Engineer"
"svn","400000",920186,"Data Scientist"
"svn","400000",1806883,"Big Data Engineer"
"svn","400000",125300,"Cloud Data Engineer"
"svn","400000",1641268,"Data Scientist"
"svn","400000",140194,"Data-path FW/SW Engineer"
"svn","400000",1656271,"Fpga Engineer"
"svn","400000",1607916,"Senior Software Developer - Data & Automation"
"svn","400000",1810956,"Data Engineer"
"svn","400000",1759634,"Senior Data Scientist"
"svn","400000",1821550,"Junior Data Architect"
"svn","400000",861601,"Senior Data Scientist"
"svn","400000",12483,"D&A Data Science Director"
"svn","400000",2439,"Data Engineer"
"svn","400000",198358,"Python Software Engineer, Engineering Center Cluj"
"svn","400000",1714408,"Data Scientist AI/ML Expert"
"svn","400000",1318027,"Data Scientist"
"svn","400000",8926,"ETL Data Engineer with Security Clearance"
"svn","400000",200053,"Product Data Scientist, Supplier Services"
"svn","400000",1586377,"GBI Software Engineer"
"svn","400000",189664,"Senior Data Engineer"
"svn","400000",520182,"Data Engineer"
"svn","400000",184553,"Interesting Job Opportunity: Senior Big Data Developer - Hadoop/SQL"
"svn","400000",183491,"Interesting Job Opportunity: Data Scientist - Regenerative..."
"svn","400000",647747,"Lead Data Scientist - NLP/Deep Learning/Computer Vision"
"svn","400000",599005,"Kaitātari Pūnaha Raraunga| Data Systems Analyst"
"svn","400000",274268,"SENIOR DATA SCIENTIST - PRODUCT OWNER F/H"
"svn","400000",954226,"Software Engineer"
"svn","400000",1479454,"Data Engineer"
"svn","400000",37388,"Data Scientist - Security Clearance Required"
"svn","400000",203861,"Data Engineer"
"svn","400000",574184,"Data Engineer - SFDC"
"svn","400000",1667801,"Data Engineer"
"svn","400000",1022900,"Senior Data Scientist"
"svn","400000",1483481,"Thai NLU developer - Remote Position"
"svn","400000",1780105,"Data Analyst"
"svn","400000",1679887,"Backend Engineer"
"svn","400000",144988,"AWS Data Engineer"
"svn","400000",831511,"Senior Data Engineer: Python, Scala, Java, C"
